Date,Close,High,Low,Open,Volume
2020-01-01,1907.124267578125,1921.465359881049,1895.1584643334622,1907.4761145194736,1354908
2020-01-02,1898.3702392578125,1917.9905441939022,1890.9356986446926,1917.9905441939022,2380752
2020-01-03,1936.2022705078125,1955.8666022954424,1903.9565125359143,1903.9565125359143,4655761
2020-01-06,1936.0269775390625,1958.4627016058398,1924.9850390083802,1940.0302575389908,3023209
2020-01-07,1940.77783203125,1948.5201831011848,1921.3774901828617,1936.0706441124132,2429317
2020-01-08,1984.2413330078125,1988.4205354606613,1937.4343084964582,1940.0297702171497,5197454
2020-01-09,1948.256591796875,1981.338154888433,1944.42923566077,1978.5227347023333,3734173
2020-01-10,1947.552734375,1965.5452610602247,1942.6696223907682,1960.2662675211193,1915807
2020-01-13,1927.140625,1952.3036980804113,1922.1694439824582,1951.3360115020064,2843893
2020-01-14,1941.701416015625,1961.8497004069804,1931.2314997286344,1931.2314997286344,2948452
2020-01-15,1959.2987060546875,1962.9061048534093,1930.5282292354666,1947.0691214883884,2620681
2020-01-16,1969.7685546875,1978.7428009978055,1948.8285034282521,1959.3424562311081,3117214
2020-01-17,1952.4359130859375,1982.7460923982926,1947.068850216636,1971.4841961694203,3281059
2020-01-20,1909.5440673828125,1972.7598875729504,1897.0943117876138,1931.143777930455,5817599
2020-01-21,1910.1597900390625,1923.7971894908103,1898.7219711440484,1909.1918886729843,1902980
2020-01-22,1941.701416015625,1944.4289815035452,1912.4910326477082,1918.9138500720508,1773686
2020-01-23,1932.0460205078125,1955.6791152118237,1925.6527509394275,1948.668607501852,2069866
2020-01-24,1925.387939453125,1932.045800406746,1913.5715010925612,1932.045800406746,1319430
2020-01-27,1912.90966796875,1934.2499102465194,1909.1618905853836,1930.9430478494314,1549101
2020-01-28,1925.69677734375,1929.2682328567005,1897.6986673583287,1917.0989325450773,1743024
2020-01-29,1899.9912109375,1928.5182853684644,1895.934706379723,1926.7987597393928,2306761
2020-01-30,1885.2205810546875,1909.1621823522598,1873.8889780593775,1904.7530318156496,2098567
2020-01-31,1833.3687744140625,1890.9523186662457,1826.79918372185,1886.5870877674975,3287223
2020-02-03,1854.047607421875,1935.352291785551,1845.846545220357,1897.6981931851963,4728073
2020-02-04,1858.677490234375,1884.206429903002,1840.0268687626713,1877.416380836904,3509339
2020-02-05,1892.892333984375,1901.8428228619407,1855.635014428979,1865.0705528914093,2439322
2020-02-06,1876.843017578125,1917.2747950016524,1865.511415654227,1891.5254013605847,2640065
2020-02-07,1884.0740966796875,1896.8164982518615,1868.597935748812,1886.234537313218,2083442
2020-02-10,1906.4720458984375,1910.925329803564,1868.597496010038,1887.9094840621358,2383032
2020-02-11,1898.932861328125,1917.8041547428713,1893.818418953352,1907.398516449392,1335820
2020-02-12,1914.23291015625,1926.798990529267,1895.9349334727342,1896.9050328107414,1620407
2020-02-13,1932.927490234375,1937.3807754025377,1914.453192261679,1916.172717939132,1645948
2020-02-14,1926.0933837890625,1950.6083051854007,1914.4532687872988,1929.4443814401702,1500115
2020-02-17,1942.892578125,1955.0177445605923,1931.3846498316457,1937.3370042636636,1774724
2020-02-18,1953.915283203125,1958.5448917947153,1927.7249690859578,1939.982322859842,2486223
2020-02-19,1936.8077392578125,1966.4812377379462,1931.6489467555925,1953.9151580797554,1760463
2020-02-20,1901.931396484375,1952.7246862442632,1897.0371958727014,1943.9946534811716,2317278
2020-02-24,1865.37939453125,1921.46365990874,1857.7514349658295,1901.2257021026319,3092877
2020-02-25,1901.3580322265625,1919.435550685866,1861.5434862238849,1865.5117219832443,2674567
2020-02-26,1872.65478515625,1908.1923716218942,1863.2631639189976,1899.4623383557137,2686842
2020-02-27,1856.693359375,1869.4357618371769,1839.6739946185085,1869.4357618371769,2349001
2020-02-28,1763.79248046875,1824.9473758346617,1754.8418835037337,1823.6246306963424,4298076
2020-03-02,1764.806640625,1811.2349097588142,1751.0500048050642,1794.524272247349,2667076
2020-03-03,1795.5823974609375,1816.5699967926716,1774.2421522072113,1781.2967929714548,2757585
2020-03-04,1837.0283203125,1846.9489083923384,1785.7058543709106,1813.0425859686875,3237002
2020-03-05,1873.9329833984375,1893.9504823961522,1837.7779514914453,1839.2328849519747,3937056
2020-03-06,1866.34912109375,1872.6982542419762,1826.7991734827883,1850.0794001231288,2595027
2020-03-09,1739.2777099609375,1834.1184799222744,1706.3413747221025,1829.7975982162081,4940975
2020-03-11,1722.8314208984375,1752.460998333151,1693.1137896281782,1704.577580912119,6796449
2020-03-12,1560.70703125,1682.884638600305,1550.565984773203,1679.0045645062137,8728786
2020-03-13,1592.849853515625,1604.9308835922448,1328.0803492306957,1488.4411415374907,8029720
2020-03-16,1495.936279296875,1624.5511500075304,1477.8146316071252,1547.6114904400683,7844271
2020-03-17,1462.0743408203125,1526.44793966222,1431.3425826282657,1525.566109541098,5713248
2020-03-18,1458.8995361328125,1511.0598008248317,1435.3987457061598,1478.6525491555326,7258778
2020-03-19,1453.525634765625,1497.1398213671014,1373.9363883747972,1385.4394814038683,5135111
2020-03-20,1596.626708984375,1660.1827033605416,1445.2205769757095,1447.8853967242817,8547498
2020-03-23,1483.149658203125,1554.478036627967,1437.0039107170821,1439.0025253356037,7003490
2020-03-24,1512.8623046875,1572.2433378810015,1450.416664335676,1468.3598454541716,6350865
2020-03-25,1554.744384765625,1607.7742432275493,1492.298745095184,1510.064206346317,2765520
2020-03-26,1590.852783203125,1627.3608970695022,1530.094985396896,1626.9611090857506,4556067
2020-03-27,1620.654296875,1643.305261287339,1554.8332807984407,1616.6570678610578,4331250
2020-03-30,1579.793701171875,1692.1602478113139,1566.5140617599238,1568.6902874723257,8513547
2020-03-31,1622.07568359375,1647.7468009937022,1581.1263103874878,1632.1132142178017,3927593
2020-04-01,1517.836669921875,1629.7590812811472,1511.8408264561997,1621.8978859791725,4941878
2020-04-03,1469.3812255859375,1545.5950961117408,1465.6505221749267,1545.5950961117408,5735369
2020-04-07,1576.862548828125,1586.3226801398423,1514.5058132618478,1518.9471792831434,5427577
2020-04-08,1514.9052734375,1604.2211745634509,1510.9525016237153,1563.3606130850906,6285615
2020-04-09,1568.823486328125,1580.0601622214933,1537.7782778275491,1554.8775342295276,5307397
2020-04-13,1562.6944580078125,1587.3440366405916,1550.9248393813502,1564.2489359396093,2990438
2020-04-15,1541.287109375,1609.5508762307722,1534.7583236991609,1585.5675022472012,4761399
2020-04-16,1524.3214111328125,1567.713539334324,1487.9022065186325,1518.9028573594114,6245533
2020-04-17,1604.3990478515625,1645.0375476984846,1557.142955883158,1598.8917972559523,9895823
2020-04-20,1615.4578857421875,1625.539763683047,1601.112253573056,1625.539763683047,3244282
2020-04-21,1543.5078125,1594.0949234373265,1534.6694298749128,1567.8020607061735,5122541
2020-04-22,1571.7994384765625,1590.0090392048867,1527.0749042277434,1543.5079585435483,3829836
2020-04-23,1668.399169921875,1687.7191123926862,1564.1158725539901,1581.1263263468322,5934366
2020-04-24,1615.3687744140625,1645.0370034239488,1605.819840450908,1635.0439329973917,2987102
2020-04-27,1631.40234375,1665.5120522667785,1621.0983975396643,1627.5828345025327,3374741
2020-04-28,1651.34423828125,1659.294239578897,1627.8493484701144,1656.6294201363185,2678505
