Date,Close,High,Low,Open,Volume
2020-01-01,1907.1246337890625,1921.4657288458002,1895.1588282466953,1907.4764807979736,1354908
2020-01-02,1898.36962890625,1917.9899275341477,1890.9350906834347,1917.9899275341477,2380752
2020-01-03,1936.202392578125,1955.8667256055173,1903.9566325732521,1903.9566325732521,4655761
2020-01-06,1936.02685546875,1958.4625781209108,1924.9849176342836,1940.0301352162637,3023209
2020-01-07,1940.778564453125,1948.5209184449127,1921.3782152833244,1936.0713747578627,2429317
2020-01-08,1984.2412109375,1988.4204131332447,1937.4341893057087,1940.0296508667277,5197454
2020-01-09,1948.2562255859375,1981.3377824592028,1944.428870169255,1978.5223628023134,3734173
2020-01-10,1947.552734375,1965.5452610602247,1942.6696223907682,1960.2662675211193,1915807
2020-01-13,1927.1407470703125,1952.303821744621,1922.1695657378825,1951.33613510492,2843893
2020-01-14,1941.7017822265625,1961.850070417947,1931.2318639649131,1931.2318639649131,2948452
2020-01-15,1959.298095703125,1962.905493378087,1930.5276278463484,1947.068514946529,2620681
2020-01-16,1969.7684326171875,1978.7426783713418,1948.8283826556344,1959.3423348069207,3117214
2020-01-17,1952.435791015625,1982.7459684329253,1947.0687284818835,1971.48407290817,3281059
2020-01-20,1909.5443115234375,1972.7601397958972,1897.0945543365021,1931.144024832664,5817599
2020-01-21,1910.15966796875,1923.7970665489886,1898.721849804679,1909.1917666645263,1902980
2020-01-22,1941.7017822265625,1944.4293482289102,1912.4913933494763,1918.9142119851824,1773686
2020-01-23,1932.04541015625,1955.6784973943438,1925.6521426075592,1948.6679918990576,2069866
2020-01-24,1925.38818359375,1932.0460453915925,1913.571743734853,1932.0460453915925,1319430
2020-01-27,1912.909912109375,1934.2501571107546,1909.1621342476878,1930.9432942916187,1549101
2020-01-28,1925.6966552734375,1929.2681105599925,1897.698547062822,1917.098811019784,1743024
2020-01-29,1899.9913330078125,1928.5184092715797,1895.934828189414,1926.7988835320325,2306761
2020-01-30,1885.2205810546875,1909.1621823522598,1873.8889780593775,1904.7530318156496,2098567
2020-01-31,1833.368896484375,1890.9524445706159,1826.7993053547427,1886.5872133812195,3287223
2020-02-03,1854.0479736328125,1935.3526740557656,1845.8469098114228,1897.6985680179844,4728073
2020-02-04,1858.6776123046875,1884.2065536499504,1840.0269896080874,1877.41650413791,3509339
2020-02-05,1892.8927001953125,1901.8431908044965,1855.6353734318798,1865.0709137197691,2439322
2020-02-06,1876.8431396484375,1917.2749197016574,1865.5115369875296,1891.525524385843,2640065
2020-02-07,1884.0745849609375,1896.8169898354633,1868.5984200192222,1886.235026154373,2083442
2020-02-10,1906.47265625,1910.9259415808324,1868.5980942361716,1887.9100884709471,2383032
2020-02-11,1898.9326171875,1917.8039081760155,1893.8181754702769,1907.3982712203606,1335820
2020-02-12,1914.2327880859375,1926.7988676576178,1895.9348125692807,1896.904911845425,1620407
2020-02-13,1932.9273681640625,1937.3806530509864,1914.4530713580755,1916.172596926935,1645948
2020-02-14,1926.09326171875,1950.6081815614023,1914.4531474547036,1929.4442591574812,1500115
