Text,Date,label
"Shaji Mathew is currently Infosys’ global head of delivery for financial services, insurance, healthcare and lie sciences.",17-02-2023,Neutral
"Exposure to SVB could be 10-20 basis points for TCS, Infosys and LTIMindtree",17-03-2023,Neutral
"Bernstein has downgraded Wipro to ‘underperform’, but remained positive on select large caps with IT firm Infosys as its top pick",22-03-2023,Positive
"Emkay highlights that Infosys' operating performance misses expectations. While among the positives were --- moderation in LTM attrition by 340 bps QoQ, and steady deal intake.",13-04-2023,Negative
"Akshata Murty, daughter of Infosys co-founder Narayana Murthy, held 3.89 crore shares of Infosys at the end of December, according to company filings with the stock exchanges.",13-04-2023,Neutral
"The subdued sentiment was most evident in Infosys, HCL Tech, TCS, Wipro, and Tech Mahindra ahead of Infosys’ quarterly earnings on Thursday. This could affect the bellwether Nifty index in which IT holds a weightage of 14.11%.",16-04-2023,Negative
"Just in January, Infosys had raised its FY23 CC revenue growth guidance to 16-16.5% from 15-16% earlier. But evidently, the scenario didn’t pan out as expected with the company missing its guidance after clocking 15.4% CC revenue growth.",16-04-2023,Negative
"As per the latest shareholding pattern, on BSE, LIC holds 29,82,44,977 equity shares or 8.19% in Infosys as of March 31, 2023. This is higher compared to 7.71% held as of the December 2022 quarter. FIIs have trimmed their shareholding by around a percent in Infosys.",18-04-2023,Neutral
"In the March quarter, Infosys’s attrition rate fell to 20.9%, a decrease from 24.3% in the preceding three months, while HCL Technologies and Tata Consultancy Services’ attrition rates dropped to 19.5% and 20.1%, respectively.",23-04-2023,Negative
"Now, attrition rates seem to have peaked, as the March-quarter results declared so far—by Tata Consultancy Services (TCS), Infosys and HCL Technologies—show",24-04-2023,Negative
"The advent and growth of the account aggregator (AA) ecosystem is going to help monetise the huge digital footprint of citizens, helping turn India from a ‘prepaid’ to ‘postpaid’ economy, said Nandan Nilekani, non-executive chairman of Infosys.",24-05-2023,Positive
Infosys's disappointing sales forecast for the current financial year added to the negative newsflow,08-06-2023,Negative
"With the company underperforming, the going hasn’t been smooth for its CEO Thierry Delaporte..Wipro’s sequential revenue growth has lagged behind its larger peers, including TCS, Infosys and HCL Tech in three of the last five quarters. A bigger headache is profitability.",12-06-2023,Negative
"Infosys Springboard offers a curriculum-rich virtual platform that delivers corporate-grade learning experiences, on any device, with closer educator-learner collaboration for students from Class 6 to lifelong learners.",22-06-2023,Neutral
"From the top-10 pack, Reliance Industries, ICICI Bank, Hindustan Unilever, ITC, Infosys and State Bank of India (SBI) faced erosion from market capitalisation (Mcap). However, Tata Consultancy Services (TCS), HDFC Bank, HDFC and Bharti Airtel emerged as the gainers.",25-06-2023,Negative
"Narayana Murthy recalled that when he started out on the journey, Infosys co-founders knew that he was earning a higher salary than them.",07-07-2023,Neutral
"After the announcement of its Q2FY24 financial result, Infosys witnessed a sharp decline in its American Depository Receipts on NYSE on Thursday",12-10-2023,Negative
"Infosys was the major loser, down over 2 per cent. Axis Bank, Wipro, Tech Mahindra, ICICI Bank and SBI were the other prominent losers",13-10-2023,Negative
"Catamaran Ventures, led by NR Narayana Murthy, founder of the country's leading IT company Infosys, has about 1.80 per cent stake in Cyient DLM.",18-10-2023,Neutral
"In the ranking of top 10 firms, Reliance Industries retained the title of the most valued firm followed by TCS, HDFC Bank, ICICI Bank, Infosys, Hindustan Unilever, ITC, Bharti Airtel, State Bank of India and Bajaj Finance",22-10-2023,Neutral
Narayana Murthy established Infosys as an experiment in entrepreneurship. Infosys is the second-largest Indian IT company by 2020 revenue figures.,25-10-2023,Neutral
"In the ranking of top-10 firms, Reliance Industries retains the most valued title followed by TCS, HDFC Bank, ICICI Bank, Hindustan Unilever, Infosys, ITC, Bharti Airtel, State Bank of India and Bajaj Finance",12-11-2023,Neutral
Nilanjan Roy has chosen to step down to pursue personal aspirations outside of Infosys.,11-12-2023,Neutral
"US-listed shares of Infosys fell over 3% in the opening trade on Monday (December 11), after the company said Nilanjan Roy has resigned from the post of chief financial officer (CFO) of Infosys and March 31 will be his last day in the office.",11-12-2023,Neutral
"Top IT firms like TCS, Wipro and Infosys have hugely contributed to the record spike of Nifty IT index over the last two days.",15-12-2023,Positive
"Infosys rolls out delayed salary hikes for employees below senior management, with single digit percentage increases due to macro-economic slowdown.",16-12-2023,Negative
"Information technology major Infosys informed that a global client has decided to terminate the Memorandum of Understanding (MoU) signed in September. The MoU pertained to Infosys providing enhanced digital experiences, along with modernisation and business operations services, leveraging the company’s platforms and Artificial Intelligence (AI) solutions.",23-12-2023,Positive
