Text,Date,label
"The integration will allow JioMart catapult its reach across India, allowing Reliance Retail to pose a serious challenge to Flipkart and Amazon’s domination in India’s fast-growing online retail market.",17-01-2021,Negative
"During the reported period, AGR for access services, also called mobile services, rose for all the leading operators, with maximum growth rate witnessed by Vodafone Idea followed by Bharti Airtel, Reliance Jio and BSNL. It must be mentioned that in the April-June period, when the whole country was under lockdown, Vodafone Idea’s mobile services revenue was down 25.44%.",21-01-2021,Negative
The Delhi High Court today issued notice on Amazon's plea seeking interim injunction against Future Retail Ltd (FRL) and Reliance Industries Ltd's deal worth nearly Rs. 25000 crores. Refusing to grant ...,29-01-2021,Neutral
"In January, local MFs trimmed their positions in Reliance Industries Ltd, Infosys Ltd, Bharti Airtel Ltd, PowerGrid Corp. of India and Tata Consultancy Services Ltd, according to data sourced from Edelweiss Alternative Research and ACE MF.",30-01-2021,Neutral
"The court had last week sided with the U.S. online retailer and put Future's asset sale to Reliance Industries on hold, leading to an appeal from the Indian retail group.",08-02-2021,Neutral
"In January, local MFs trimmed their positions in Reliance Industries Ltd, Infosys Ltd, Bharti Airtel Ltd, PowerGrid Corp. of India and Tata Consultancy Services Ltd, according to data sourced from Edelweiss Alternative Research and ACE MF.",12-02-2021,Neutral
"Billionaire Mukesh Ambani's Reliance Industries announced the contours of spinning-off its oil refining, fuel marketing and petrochemical (oil-to-chemical) business into an independent unit with a USD 25 billion loan from the parent, as it looks to unlock value by settling stakes to global investors like Saudi Aramco.",23-02-2021,Neutral
"Reliance Jio and Bharti Airtel to focus on market share gains first, increasing pain for Vodafone Idea",06-03-2021,Neutral
"FE has learned Reliance Centre may soon be the new address of Yes Bank as the lender is likely to convert the building as its corporate headquarters. The bank currently operates from Indiabulls Finance Centre in Lower Parel, Mumbai.",01-04-2021,Neutral
"The Securities and Exchange Board of India has imposed a penalty of Rupees 25 Crores on prominent members of the Reliance family Mukesh Ambani, Anil Ambani, Nita Ambani, Tina Ambani and few other...",07-04-2021,Neutral
"The case pertains to an increase in the promoter stake of Reliance Industries Ltd (RIL) in January 2000, after conversion of some warrants issued as early as 1994.",07-04-2021,Neutral
"In lines with the Atmanirbhar Bharat (Self-reliant India) policy, the government has decided to reduce India’s over-reliance on imported oil.",12-04-2021,Neutral
"The Tata group, Reliance Industries Ltd, JSW Group, Adani group, ITC Ltd, and Jindal Steel and Power Ltd are among many top Indian companies helping hospitals with emergency supplies",27-04-2021,Neutral
"Reliance Jio is the top mobile operator in terms of revenue and subscribers followed by Bharti Airtel, Vodafone Idea and BSNL.",27-04-2021,Neutral
"Billionaire Mukesh Ambani's Reliance Retail Ltd has been ranked second fastest growing retailer in the world in the 2021 ranking of global retail power houses by Deloitte, down from top rank secured the previous years.",09-05-2021,Positive
Jio Phone announces 2 new offers for its users Greater Kashmir | Reliance Jio has announced new offers for its JioPhone feature phone users for the pandemic period. In a statement the company said that under the first,15-05-2021,Neutral
"The Tata group has completed the purchase of a majority stake in online grocer BigBasket that would pitch the conglomerate against established heavyweights such as Amazon, Reliance Industries Ltd (RIL), and Walmart Inc",28-05-2021,Neutral
