Text,Date,label
"Ravalgaon Sugar Farm, which owns brands such as Mango Mood, Coffee Break, Tutty Fruity, Paan Pasand, etc has sold its trademarks, recipes, all intellectual property rights to Reliance Consumer Products",10-02-2024,Neutral
"Indian e-commerce giant Flipkart has held discussions in recent weeks about potentially acquiring Dunzo, the hyperlocal delivery startup backed by India's Flipkart has held discussions to acquire Dunzo, the hyperlocal delivery startup backed by Reliance Retail.",20-02-2024,Neutral
"As per the agreement, the media unit of Reliance and its affiliates are expected to own at least 61 per cent in the merged entity, with Disney holding the rest.",25-02-2024,Neutral
"Reliance Power will be using the proceeds of the sale to retire its debt, sources said, adding that it was aiming to be debt free by the end of the current financial year",22-03-2024,Neutral
"Reliance Power Limited's stock closed at Rs 27.67 on BSE as of March 27, marking a slight increase of 0.33% compared to the previous close of Rs 27.58. The stock has seen fluctuations with a 52-week high of Rs 33.10 and a low of Rs 9.05, and it currently has a market capitalization of Rs 10,545.54 crore on BSE. , Companies News, ET Now",27-03-2024,Neutral
Mukesh Ambani's Reliance has picked up 26 percent shares in Adani Power's project in Madhya Pradesh.,28-03-2024,Neutral
"On 28 February, Reliance, its step-down subsidiary Viacom18 Media and Disney agreed to combine the businesses of Viacom18 and Star India, valuing them at $3.9 billion and $3.12 billion, respectively",08-04-2024,Neutral
"Mukesh Ambani-led Reliance Industries to announce Q4 results, consider dividend on April 22",15-04-2024,Neutral
"Reliance Industries Ltd on Monday reported that profits from the retail business climbed 11.7% to Rs 2,698 crore",22-04-2024,Positive
"Reliance Industries, the biggest company by market capitalsation, has announced dividend of Rs 10 per share for the financial year gone by",22-04-2024,Neutral
Reliance Industries Q4 Results Live : Revenue decreased by 72.99% YoY & profit decreased by 71.59% YoY,23-04-2024,Negative
"India's imports from China have surged, leading to a growing trade deficit and increased reliance on Chinese goods.",28-04-2024,Positive
"With this milestone, the engineering giant also joined in the ultra-elite club which already include names like Reliance Industries, Tata Motors, TATA Steel, Tata Consultancy Services and Hindalco Industries.",08-05-2024,Positive
"A short build-up was seen in 101 stocks, including Muthoot Finance, Asian Paints, Berger Paints, Voltas, and Reliance Industries.",09-05-2024,Neutral
Reliance Retail Ventures aims to dominate the diagnostic healthcare sector with strategic acquisitions and expansion plans nationwide.,12-05-2024,Neutral
