Text,Date,label
"TCS recorded net profit of Rs 8,727 crore in the third quarter of the current fiscal year.",08-01-2021,Neutral
"TCS reported a 14.9% year-on-year increase in net profit to ₹9,246 crore for the March quarter.At 7.2%, the IT services attrition (LTM) recorded at all-time low, it mentioned.",12-04-2021,Positive
"Tata Consultancy Services (TCS), which hired around 40,000 people last year, expects to hire a similar number or a little more in the financial year 2022.",13-04-2021,Neutral
"“Before words like hackathon became common, we saw the potential of programming as a sport and that inspired TCS CodeVita,” said Ananth Krishnan, CTO, TCS. “This competition is fuelling a passion for programming in young people.”",23-05-2021,Positive
"Last year, TCS had said that in the next five years, only 25% of its employees will need to work out of its facilities at any given point of time. The company had also pivoted to a new operating model that it calls ‘Secure Borderless Workspaces’ (SBWS).",10-06-2021,Neutral
"High payouts in FY21 signal paucity of investment options amid covid-led disruptions.Among Nifty firms, BPCL, TCS, ITC, Infosys and Indian Oil Corp. paid the highest dividends last fiscal year",20-06-2021,Positive
"The PMI data for the services sector will be released on Monday, and will give a sense of economic recovery patterns in India. Later in the week, TCS will become the first major company to report June-quarter results.",04-07-2021,Neutral
"IT behemoth TCS said, 'Talent and Potential will always remain, and Rebegin is an opportunity for talented experienced women professionals to inspire, reinvent and challenge themselves to make a mark'",08-09-2021,Positive
"TCS had reported net profit of ₹9,008 crore, up 28.5% in Q1FY22",30-09-2021,Positive
TCS has announced the next leg of its ‘Smart Hiring Program’.,16-10-2021,Neutral
"India's top tech giants -- Tata Consultancy Services (TCS), Infosys, and HCL Technologies -- recently unveiled their plans for employees returning to offices as Covid-19 cases continue to decline in the country",18-10-2021,Negative
"The top five IT firms -- Tata Consultancy Services (TCS), Infosys, Cognizant, HCL Technologies and Tech Mahindra -- are hiring more than 2 lakh freshers.",24-11-2021,Neutral
