Text,Date,label
An explainer on why HDFC Bank's share price has fallen by over 10% this week.,19-01-2024,Negative
Santosh Nair was the CEO of HDFC Sales and also worked at HDFC and HDFC Bank in his three decades of experience in the industry.,01-02-2024,Neutral
"Digital payments impacted due to glitch in UPI platform, HDFC Bank among affected banks, issue resolved.",06-02-2024,Negative
The existing customers of HDFC Bank can open a Fixed Deposit account by visiting the nearest branch or by using the net banking service.,13-02-2024,Neutral
"HDFC Bank ADR on the NYSE was last up 6.21 per cent at $69.90, after India's biggest private lender's fourth quarter business updates lifted investor sentiments earlier today.",04-04-2024,Positive
"Reliance Industries remained the most valued firm, followed by TCS, HDFC Bank, ICICI Bank, Bharti Airtel, State Bank of India, Infosys, LIC, Hindustan Unilever and ITC",12-05-2024,Neutral
"HDFC Bank will cease SMS alerts for UPI spends below ₹100 and receipts under ₹500 from June 25, continuing email alerts. The bank has also launched fully digital PIXEL credit cards, available via the PayZapp app, offering instant issuance and management of card features",28-05-2024,Neutral
"In its Model Portfolio, Prabhudas Lilladher cuts weights on Hindustan Unilever, Titan Company, Infosys, and Bajaj Finance, while it increases weights behind HDFC Bank, Larsen & Toubro, InterGlobe Aviation, Sun Pharmaceutical Industries, LTI Mindtree, Reliance Industries and Bharti Airtel.",15-06-2024,Neutral
"After a challenging year post-merger, HDFC Bank looks poised for a strategic path forward",30-06-2024,Positive
"Hindustan Zinc, Zomato, HDFC Bank, Avenue Supermarts, Kotak Mahindra Bank, IEX, M&M Financial Services, YES Bank, Hindustan Zinc, Zomato and more, these are the stocks to watch for today.",02-07-2024,Neutral
"Chandan Taparia has recommended three stocks to buy today, August 9. According to him, these stocks – Alkem Lab, HDFC Bank, ABB – are technically placed to see a decent upmove.",08-08-2024,Neutral
Will a potential weightage increase in HDFC Bank lead to a breakout on the Nifty 50?,12-08-2024,Neutral
"Fxed deposit rates for senior citizens offered by major banks including SBI, PNB, HDFC bank and more. Senior Citizen fixed deposits offer higher interest rates, flexible tenures from 7 days to 10 years, and the option for premature withdrawals or loans. They include nomination facilities, automatic renewals, and tax-saving benefits under Section 80C for 5-year",19-08-2024,Neutral
"The RBI fined Axis Bank ₹1.91 crore and HDFC Bank ₹1 crore for regulatory violations. Axis Bank was penalized for issues including improper customer identification and collateral for loans, while HDFC Bank faced penalties for non-compliance related to interest rates and customer service protocols.",10-09-2024,Negative
"Indian lender HDFC Bank Ltd. has sold a housing loan portfolio of about 60 billion rupees ($717 million), seeking to further lighten its credit load amid regulatory pressures on the industry.",26-09-2024,Negative
"Check out the stocks that you need to have a close eye on October 4: Avenue Supermarts, Bank of Baroda, HDFC Bank and more.",03-10-2024,Neutral
"HDFC Bank on Saturday reported that its standalone net profit for the quarter ending September 30, 2024 grew by 5.3 per cent Year-on-Year at Rs 16820 crore, as compared to Rs 15976 crore in the corresponding quarter of the previous financial year.",20-10-2024,Positive
An explainer on how banks package loans for investors and what HDFC Bank is doing in this space.,29-11-2024,Neutral
"Stocks to watch, Vedanta, Mindspace REIT, Gravita India, HDFC Bank, Wipro, Religare Enterprises, HPCL, India Pesticides, Nitco, top stocks, Godavari Biorefineries, Mankind Pharma, GMR Airports, Indus Towers, Texmaco Rail, HCC, Mawana Sugars and more, these are the stocks to watch for today.",16-12-2024,Neutral
The credit cards which are considered popular among gadget enthusiasts give good cashback to the cardholders and include Amazon Pay ICICI Credit Card and HDFC Bank Millennia Credit Card,25-12-2024,Neutral
